ID,Date,Time,End Time,Track,Title,Chair(s),Location,Notes,Web Page,Submission IDs
1,"Apr 21, 2015",16:30,17:50,N,"SIG: Start and Run a SIGCHI Local Chapter","","318A",,,sig102     
2,"Apr 22, 2015",11:30,12:50,N,"SIG: Online Deliberative Processes and Tech","","318A",,,sig104     
3,"Apr 22, 2015",16:30,17:50,N,"SIG: Understanding Sports","","318A",,,sig105     
4,"Apr 21, 2015",11:30,12:50,N,"SIG: Gender-Inclusive Software","","318A",,,sig108     
5,"Apr 20, 2015",14:30,15:50,N,"SIG: Interactive Childhood ","","318A",,,sig109     
6,"Apr 20, 2015",14:30,15:50,K,"Case Studies: Industrial Innovation","Dongwhan Kim","308",,,case115 case133 case137 case156  
7,"Apr 21, 2015",9:30,10:50,K,"Case Studies: Art &amp; Life","Frisina Chris","308",,,case120 case147 case163 case183  
8,"Apr 21, 2015",14:30,15:50,K,"Case Studies: Education &amp; Work","Luis A. Leiva","308",,,case128 case129 case167 case191  
9,"Apr 23, 2015",9:30,10:50,K,"Case Studies:&nbsp; Observation &amp; Interaction","Frank Bentley","308",,,case131 case136 case138 case153  
10,"Apr 23, 2015",14:30,15:50,K,"Case Studies: Special Environments","Francesca Samsel","308",,,case134 case139 case140 case155  
11,"Apr 21, 2015",9:30,10:50,M,"Course: Learn to Sketch (Even if You Can’t Draw) 1/2","","317BC",,,crs100     
12,"Apr 21, 2015",11:30,12:50,M,"Course: Learn to Sketch (Even if You Can’t Draw) 1/2","","317BC",,,crs100     
13,"Apr 22, 2015",9:30,10:50,L,"Course: Intro to Creating Musical Interfaces 1/2","","317A",,,crs101     
14,"Apr 22, 2015",11:30,12:50,L,"Course: Intro to Creating Musical Interfaces 1/2","","317A",,,crs101     
15,"Apr 23, 2015",11:30,12:50,M,"Course: Designing with the Mind in Mind 1/1","","317BC",,,crs103     
16,"Apr 22, 2015",14:30,15:50,L,"Course: Experience Sampling to Collect Deep Data 1/2","","317A",,,crs104     
17,"Apr 22, 2015",16:30,17:50,L,"Course: Experience Sampling to Collect Deep Data 1/2","","317A",,,crs104     
18,"Apr 21, 2015",9:30,10:50,O,"Course: Practical UX Research Methodologies 1/2","","318BC",,,crs106     
19,"Apr 21, 2015",11:30,12:50,O,"Course: Practical UX Research Methodologies 1/2","","318BC",,,crs106     
20,"Apr 22, 2015",14:30,15:50,O,"Course: Conceptual Models: Core to Good Design 1/2","","318BC",,,crs107     
21,"Apr 22, 2015",16:30,17:50,O,"Course: Conceptual Models: Core to Good Design 1/2","","318BC",,,crs107     
22,"Apr 20, 2015",11:30,12:50,L,"Course: Designing Websites for Adults 55+ 1/1","","317A",,,crs108     
23,"Apr 21, 2015",14:30,15:50,I,"Course: HCI Lessons: From Earth to Outer Space 1/2","","E7",,,crs109     
24,"Apr 21, 2015",16:30,17:50,I,"Course: HCI Lessons: From Earth to Outer Space 1/2","","E7",,,crs109     
25,"Apr 23, 2015",9:30,10:50,O,"Course: Introduction to Positive Computing 1/1","","318BC",,,crs110     
26,"Apr 20, 2015",14:30,15:50,O,"Course: Design for Online Video &amp; Television 1/2","","318BC",,,crs111     
27,"Apr 20, 2015",16:30,17:50,O,"Course: Design for Online Video &amp; Television 1/2","","318BC",,,crs111     
28,"Apr 20, 2015",14:30,15:50,M,"Course: Intro to Human-Computer Interaction 2/2","","317BC",,,crs112     
29,"Apr 20, 2015",16:30,17:50,M,"Course: Intro to Human-Computer Interaction 2/2","","317BC",,,crs112     
30,"Apr 20, 2015",11:30,12:50,I,"Course: Cross-channel Conceptual Design 1/1","","E7",,,crs113     
31,"Apr 22, 2015",14:30,15:50,K,"Course: Designing Wearable Interfaces 1/2","","308",,,crs115     
32,"Apr 22, 2015",16:30,17:50,K,"Course: Designing Wearable Interfaces 1/2","","308",,,crs115     
33,"Apr 22, 2015",9:30,10:50,I,"Course: Speech-based Interaction 1/2","","E7",,,crs116     
34,"Apr 22, 2015",11:30,12:50,I,"Course: Speech-based Interaction 1/2","","E7",,,crs116     
35,"Apr 22, 2015",14:30,15:50,I,"Course: Rapid Design Labs - Design-Led Innovation 1/2","","E7",,,crs117     
36,"Apr 22, 2015",16:30,17:50,I,"Course: Rapid Design Labs - Design-Led Innovation 1/2","","E7",,,crs117     
