Start Time,End Time,,Name,PaperId,Presenter,Options,Great Together,Ok Together,Not Ok Together,Don't know if should be together,Interested in,Options 11-20,More button1 clicked,More button2 clicked,Specials 1-3,Specials 4-6
2015-01-15T22:16:58Z,2015-01-15T22:18:50Z,,Juho Test,pn382,,"pn1530,pn936,pn1147,pn738,pn5119,pn1335,pn727,pn1167,pn1574,pn2492","pn1574,pn1530,pn5119","pn2492,pn936,pn1335","pn738,pn1167","pn727,pn1147","pn1530,pn738,pn936","pn1187,case128,pn682,pn1336,pn1129,crs111,pn5128,pn1606,pn464,pn1439",TRUE,FALSE,,
2015-01-15T22:54:49Z,2015-01-15T22:55:13Z,,Juho test 2,pn382,,"pn738,pn727,pn936,pn1167,pn1147,pn5119,pn1335,pn1574,pn1530,pn2492","pn738,pn727,pn1147,pn936,pn1167",,"pn2492,pn1574,pn1530,pn5119,pn1335",,"pn5119,pn1147,pn1167,pn936","pn682,pn1439,pn1336,crs111,pn1606,pn5128,pn464,pn1129,pn1187,case128",FALSE,TRUE,,
2015-01-25T23:17:14Z,2015-01-25T23:18:47Z,,Antti Oulasvirta,pn147,,"pn2504,pn373,pn1966,pn1184,pn362,pn1688,pn2004,pn2678,pn1069,pn263","pn362,pn1184,pn2004,pn2504,pn2678",pn373,,"pn1966,pn263,pn1069,pn1688","pn362,pn2504,pn1184","pn1195,pn1275,pn783,pn1367,pn153,pn1887,pn144,pn1980,pn1559,pn487",FALSE,FALSE,,
2015-01-25T23:21:20Z,2015-01-25T23:22:49Z,,,pn144,,"pn5118,pn1991,pn1887,pn1184,pn1356,pn548,pn2602,pn783,pn1533,pn1054","pn1184,pn1991,pn1356",,"pn2602,pn783,pn548,pn5118,pn1533,pn1054",pn1887,,"pn657,pn147,pn546,pn762,pn2495,pn1990,pn1559,pn1275,pn528,pn373",FALSE,FALSE,,
2015-01-25T23:21:18Z,2015-01-25T23:24:01Z,,Sriram Subramanian,pn365,,"pn1606,case138,pn2352,crs138,pn631,pn414,pn1038,pn650,pn2625,pn1391",,"pn1391,crs138,pn2604,pn631,pn1054",case138,"pn1606,pn1038",,"pn1289,pn710,pn1054,pn933,pn1492,pn1016,pn2604,pn1357,pn5127,pn1888",TRUE,FALSE,,
2015-01-25T23:19:38Z,2015-01-25T23:25:17Z,,John Vines,pn148,,"pn910,pn787,pn1764,pn504,pn1312,pn1376,pn594,pn361,pn479,pn1828","case153,pn1312,pn1376",pn594,"pn361,pn2336,pn1501,pn787,pn413,pn1147,pn1764,pn1828,pn2348,pn1195,pn1889,pn504,pn973","pn2282,pn479,pn910","pn1312,pn1764,pn594,pn1376","pn1195,pn1889,pn2336,pn973,case153,pn2282,pn2348,pn1147,pn1501,pn413",TRUE,FALSE,,
2015-01-25T23:25:18Z,2015-01-25T23:27:59Z,,Joshua Gluck,pn466,,"pn2478,pn1480,pn895,pn1266,pn287,pn169,pn298,pn371,pn2244,pn763","pn895,pn1480","pn1266,pn298","pn2478,pn371","pn287,pn763,pn2244,pn169","pn2244,pn1480,pn2478","pn1907,pn248,pn462,pn2480,pn1077,pn1742,pn563,pn2626,pn5113,pn655",FALSE,FALSE,,
2015-01-25T23:25:37Z,2015-01-25T23:29:04Z,,Xiaotong Liu,pn500,,"case138,pn2146,pn1289,pn1886,pn1552,pn134,pn365,pn650,pn2539,pn1684","case138,pn2146,pn1289,pn650,pn1684,pn1886,pn2539,pn1552,pn134",pn365,,,"pn134,pn1552,pn1886,pn2539,pn1684","pn1048,pn1606,case183,pn242,pn2606,pn5107,pn768,pn1717,pn2578,pn1492",FALSE,FALSE,,
2015-01-25T23:27:07Z,2015-01-25T23:29:42Z,,Sameer Patil,pn298,,"pn763,pn287,pn895,pn1480,pn1266,pn466,pn2478,pn2244,pn169,pn371","pn895,pn1480,pn466","pn287,pn371","pn763,pn2244,pn169","pn1266,pn2478","pn2244,pn895,pn466,pn1480,pn1266","pn5113,pn1501,pn261,pn2587,pn1840,pn1077,pn2588,pn551,pn731,pn1023",FALSE,FALSE,,
2015-01-25T23:28:13Z,2015-01-25T23:30:06Z,,Sriram Subramanian,pn1195,,"pn1114,pn1763,pn1337,pn1149,pn147,pn413,pn2108,pn1453,pn859,pn1390","pn859,pn1390","pn1114,pn1763","pn2108,pn147,pn1337","pn1149,pn413,pn1453","pn859,pn1763,pn1390","pn1280,pn1638,pn2464,pn1188,pn783,pn380,pn399,pn5118,pn687,pn1538",FALSE,FALSE,,
