Start Time,End Time,Assigned,Name,PaperId,Presenter,Options,Great Together,Ok Together,Not Ok Together,Don't know if should be together,Interested in,Options 11-20,More button1 clicked,More button2 clicked,Specials 1-3,Specials 4-6,Comments
2014-01-20T15:34:15Z,2014-01-20T15:35:52Z,2, Tovi Grossman,pn1020,,"pn435,pn847,pn884,pn2441,pn1269,pn224,pn1275,pn2150,pn692,pn2330","pn224,pn884,pn2441","pn2330,pn692","pn435,pn1269,pn847,pn2150,pn1275",,"pn224,pn884,pn692,pn2441","pn2472,pn965,pn116,pn2490,pn319,pn1015,pn250,pn643,pn1257,pn1722",FALSE,FALSE,"crs123,crs102,crs143","crs122,crs108,case115",
2014-01-20T20:43:21Z,2014-01-20T20:44:24Z,3,,pn186,,"to106,pn2489,pn119,pn2294,pn155,pn671,pn2119,pn526,pn2134,pn1732","pn119,pn2134","pn671,pn526","pn2119,pn1732,pn2294,to106,pn2489,pn155",,,"pn2128,pn2317,pn2463,pn2153,pn1916,pn1410,pn1982,pn2160,pn1490,pn2175",FALSE,FALSE,"crs122,crs149,crs129","crs100,crs157,case138",
2014-01-20T20:42:47Z,2014-01-20T20:45:22Z,5, Björn Hartmann,pn330,,"pn1423,pn1727,pn1872,pn1901,pn1513,pn2464,pn1316,pn147,pn1262,pn2454",pn1423,"pn1872,pn147,pn1513","pn1901,pn1262,pn1727,pn2454,pn1316,pn2464",,"pn1316,pn1513,pn1262,pn1423,pn1872","pn589,pn977,pn2041,pn1883,pn2031,pn755,pn794,pn428,pn425,pn1007",FALSE,FALSE,"crs129,crs142,crs102","crs123,sig103,crs124",
2014-01-20T20:41:36Z,2014-01-20T20:46:28Z,1,Xiang 'Anthony' Chen,pn142,,"pn428,pn714,pn1007,pn372,pn1488,pn1628,pn1275,pn205,pn1200,pn1936",pn1200,"pn205,pn372","pn714,pn1488,pn1628,pn1936,pn1275","pn428,pn1007","pn428,pn1200,pn714,pn205,pn372,pn1936","pn1225,pn1190,pn1336,pn1776,pn1046,pn739,pn672,pn1482,pn896,pn2112",FALSE,FALSE,"crs153,sig107,case138","crs122,crs138,sig114",
2014-01-20T20:43:44Z,2014-01-20T20:46:41Z,3, Stefan Schneegass,pn1372,,"pn896,pn2168,pn521,pn2022,pn2001,pn654,pn2447,pn1179,pn1958,pn672","pn2168,pn672,pn2022","pn896,pn1958,pn521","pn2001,pn2447,pn1179",pn654,"pn896,crs157,pn672,pn2022","pn1503,pn983,pn104,pn1460,pn2117,pn1237,pn1949,pn224,pn1485,pn1776",FALSE,FALSE,"crs157,crs137,case163","crs100,crs153,crs122",
2014-01-20T20:43:16Z,2014-01-20T20:46:52Z,4," Matthew 
Smith",pn191,,"pn2168,pn2399,pn2094,pn950,pn757,pn2005,pn1976,pn2525,pn1811,pn1724",pn2399,"pn757,pn2525,pn2094,pn1811","pn2168,pn1724","pn2005,pn1976,pn950","pn2094,pn950,pn757,pn1724,pn2525,pn2399,case118,pn1811","pn235,pn686,pn2001,pn897,pn2226,pn2175,pn785,pn399,pn2112,pn2227",FALSE,FALSE,"case118,case138,sig103","sig109,crs122,crs129",
2014-01-20T20:44:26Z,2014-01-20T20:47:35Z,4, Nick Taylor,pn443,,"to108,pn2268,pn866,to102,pn1820,pn1904,pn1354,pn950,pn2031,pn883",pn1820,"pn2031,pn883,pn2268,to102,pn1354,pn950","pn1736,pn2214,pn1821,pn431,pn761,pn1120,to108,pn1904,pn1517","pn1448,pn866,pn2020,pn1745",pn1904,"pn1448,pn1517,pn761,pn431,pn1736,pn2020,pn2214,pn1821,pn1120,pn1745",TRUE,TRUE,"crs146,crs121,case163","sig112,crs111,crs153",
2014-01-20T20:45:32Z,2014-01-20T20:47:42Z,1,,pn1932,,"pn1916,pn1410,pn2202,pn1179,pn1275,pn1982,pn1834,pn2317,pn532,pn2175",pn1834,,,,,"pn2159,pn2153,pn1901,pn1490,pn1806,pn1850,pn1646,pn2463,pn2160,pn2328",FALSE,FALSE,"crs123,sig103,sig111","crs146,crs122,case115",
2014-01-20T20:45:00Z,2014-01-20T20:48:02Z,4," Amirali Salehi-Abari 
",pn1399,,"pn1097,pn2119,pn2226,pn757,pn2490,pn183,pn1417,pn1976,pn2227,pn2090","pn2227,pn1097","pn757,pn2119,pn1976",pn2226,"pn183,pn2490,pn2090,pn1417",,"pn191,pn1337,pn1958,pn1192,pn1776,pn2399,pn2463,pn2380,pn737,pn1617",FALSE,FALSE,"crs115,crs149,crs100","crs124,crs144,sig109",
2014-01-20T20:42:00Z,2014-01-20T20:48:16Z,1,Julie Wagner,pn113,,"pn1425,pn1222,pn343,pn1046,pn2117,pn896,pn1700,pn426,pn222,pn988","pn2117,pn1700,pn988,pn1046","pn343,pn426","pn896,pn222,pn1425",pn1222,"pn426,pn1700,pn2117,pn988,pn1425,pn1046","pn2157,pn1628,pn2010,pn756,pn1007,pn1092,pn654,pn799,pn1916,pn730",FALSE,FALSE,"crs122,crs153,crs149","sig118,crs116,crs138",
