Start Time,End Time,Name,PaperId,Presenter,Options,Great Together,Ok Together,Not Ok Together,Don't know if should be together,Interested in,Options 11-20,More button1 clicked,More button2 clicked,Specials 1-3,Specials 4-6
2013-01-29T22:22:18Z,2013-01-29T22:23:42Z,,tochi115,,"pn1302,pn1770,pn2291,pn1408,pn538,pn1031,pn2096,tochi106,pn1554,pn144",pn1031,"pn1302,tochi106,pn1408,pn144","pn1770,pn538,pn1554","pn2096,pn2291","tochi106,pn1302","pn1711,pn385,pn1713,pn830,pn2240,pn586,pn2253,pn154,pn339,pn981",FALSE,FALSE,"crs126,pan110,sig113","crs152,crs177,sig117"
2013-01-29T22:40:26Z,2013-01-29T22:45:49Z,Lian Loke,tochi121,,"pn982,pn1131,tochi123,pn1012,pn517,pn1247,pn1637,tochi103,tochi130,pn368","tochi103,tochi130,pn517,pn982,tochi123","pn1131,pn1247",pn368,"pn1012,pn1637","pn1247,tochi123,sig124,pn982","pn858,pn384,pn1874,tochi106,pn573,pn173,pn623,tochi100,pn564,pn2105",FALSE,FALSE,"case112,pan122,sig124","case127,sig116,crs120"
2013-01-29T23:21:33Z,2013-01-29T23:26:21Z,Fraser Anderson,pn1046,,"pn2220,pn466,pn1350,pn702,pn1437,pn1440,pn540,pn1734,pn1770,pn289","pn540,pn1734,pn1770,pn1440","pn289,pn2220,pn702,pn1437","pn1350,pn466",,"pn293,pn1440,pn1770,pn2321,pn1734","pn722,pn2165,pn538,pn2321,pn102,pn1545,pn293,pn1271,pn1566,pn414",FALSE,TRUE,"crs105,crs114,crs126","sig123,crs112,crs110"
2013-01-29T23:25:14Z,2013-01-29T23:27:14Z,Shaun K. Kane,pn2165,,"pn2154,pn917,pn1274,pn181,pn253,pn1057,pn401,pn2340,pn195,tochi107","pn181,tochi107,pn917","pn1274,pn2340","pn195,pn1057","pn401,pn2154,pn253","pn1274,tochi107,sig102","pn595,pn1541,pn1770,pn646,pn1067,pn1734,pn923,pn1104,pn1177,pn137",FALSE,FALSE,"sig109,sig102,crs150","crs112,case136,crs120"
2013-01-29T23:21:46Z,2013-01-29T23:27:26Z,Michael A. Correll,pn476,,"pn466,pn1177,pn1327,pn765,pn639,pn1594,pn1263,tochi104,pn164,pn1264","pn1327,tochi104,pn1264,pn765,pn466","pn639,pn1263,pn1594,pn1177",,pn164,"pn466,tochi104,crs140,pn1327,pn1264,pn765","pn1566,pn1711,pn115,pn782,pn946,pn1977,pn2291,pn492,pn1936",FALSE,FALSE,"crs177,sig102,crs140","crs110,crs153,case141"
2013-01-29T23:24:26Z,2013-01-29T23:27:58Z,Michelle Annett,pn540,,"pn722,pn368,pn1437,pn2220,pn102,pn1440,pn1734,pn1046,pn1770,pn1566","pn1734,pn1046,pn1437",pn1770,"pn102,pn2220,pn722,pn368","pn1440,pn1566","pn2220,pn368,pn102,pn1770,pn1566,pn722","pn2165,pn1271,pn568,pn1131,pn293,pn289,pn1545,pn1177,pn758,pn733",FALSE,FALSE,"sig102,crs110,crs139","crs130,crs161,case170"
2013-01-29T23:22:46Z,2013-01-29T23:28:16Z,Ryen W. White,pn1094,,"pn253,pn2305,pn1104,pn2012,pn2303,pn1339,pn1134,pn1846,pn1438",pn2305,pn1846,"pn1104,pn2012,pn253,pn1438,pn2303","pn1134,pn1339","pn1104,pn2305","pn1460,pn215,pn769,pn1168,pn1557,pn1352,pn1698,pn1170,pn2330,pn1742",FALSE,FALSE,"crs112,case133,sig118","crs105,crs177,crs110"
2013-01-29T23:25:15Z,2013-01-29T23:28:27Z,Jeff Huang,pn1318,,"pn1711,pn170,pn2104,pn1874,pn160,pn2161,pn2178,tochi128,pn2247,pn2198","pn2104,pn2178,pn2198","tochi128,pn2161,pn160,pn2247",pn1711,"pn1874,pn170","crs134,pn2198,pn2178","pn1188,pn930,tochi102,pn401,pn946,pn1477,pn1118,pn1108,pn702,pn224",FALSE,TRUE,"crs134,sig105,case141","sig122,crs152,crs160"
2013-01-29T23:22:48Z,2013-01-29T23:28:43Z,Melanie Feinberg,pn226,,"pn813,pn1765,pn1699,pn1492,pn1118,pn718,pn1678,pn120,pn2207,pn241","pn895,pn1699,pn1025,pn805","pn1492,pn630,pn1765","pn115,pn718,pn1118,pn1678,pn241,pn813,pn158,pn120,pn1426,pn2207,pn179,pn414,pn1532",,"pn1699,pn1765,pn1492","pn895,pn1532,pn158,pn1426,pn1025,pn179,pn805,pn115,pn414,pn630",TRUE,FALSE,"case136,sig118,sig124","sig112,pan107,sig115"
2013-01-29T23:23:13Z,2013-01-29T23:29:25Z,Leslie S. Liu,pn646,,"pn1057,pn1104,tochi118,pn2157,pn1541,pn642,pn137,pn1607,pn1067,pn595","pn1541,pn642","pn137,pn595,pn1607,tochi118,pn1104","pn2157,pn1057",pn1067,"pn1131,pn923,pn642,pan118,sig128,pn1607,pn1541,pn1927,tochi118","pn1927,pn1350,pn923,pn401,pn1131,pn181,pn1122,pn1713,pn1768,pn476",FALSE,TRUE,"sig128,pan118,case126","pan119,sig127,pan120"
